cell1_v,cell2_v,cell3_v,loadcell1,loadcell2,pack_v,rpm1,rpm2,throttle1,throttle2
3.956,3.968,3.984,-17,0,11.908,995,0,0.0,9.8
3.956,3.968,3.983,-16,0,11.907,1107,0,0.0,9.8
3.956,3.968,3.983,-16,0,11.907,1107,0,0.0,9.8
3.957,3.968,3.984,-16,0,11.909,1113,0,0.0,9.8
3.956,3.968,3.983,-16,0,11.907,1113,0,0.0,0.0
3.956,3.968,3.983,-1,-2,11.907,669,0,0.0,0.0
3.957,3.968,3.984,27,-6,11.909,669,0,0.0,0.0
3.956,3.968,3.983,16,-7,11.907,663,0,0.0,0.0
3.957,3.968,3.983,5,-8,11.908,663,0,0.0,0.0
3.957,3.968,3.983,1,-8,11.908,334,0,0.0,0.0
3.957,3.967,3.984,-2,-8,11.908,334,0,0.0,0.0
3.957,3.968,3.983,-3,-8,11.908,332,0,0.0,0.0
3.957,3.968,3.984,-3,-8,11.909,0,0,0.0,0.0
3.957,3.968,3.984,-3,-8,11.909,0,0,0.0,0.0
3.956,3.968,3.983,-3,-8,11.907,361,0,0.0,0.0
3.956,3.968,3.983,-3,-8,11.907,361,0,0.0,0.0
3.957,3.968,3.983,-3,-8,11.908,294,0,0.0,0.0
3.957,3.968,3.983,-3,-8,11.908,294,0,0.0,0.0
3.957,3.968,3.983,-3,-8,11.908,0,0,0.0,0.0
3.957,3.968,3.984,-3,-8,11.909,0,0,0.0,0.0
3.957,3.968,3.984,-3,-9,11.909,334,0,0.0,0.0
3.957,3.968,3.983,-3,-9,11.908,334,0,0.0,0.0
3.957,3.968,3.983,-4,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-4,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-4,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-4,-9,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-4,-9,11.908,0,0,0.0,0.0
3.956,3.968,3.983,-4,-9,11.907,0,0,0.0,0.0
3.956,3.968,3.983,-2,-9,11.907,0,0,0.0,0.0
3.957,3.968,3.983,-5,-9,11.908,373,0,0.0,0.0
3.957,3.968,3.983,-7,-8,11.908,373,0,0.0,0.0
3.957,3.968,3.983,-6,-8,11.908,0,0,0.0,0.0
3.957,3.968,3.983,-6,-8,11.908,0,0,0.0,0.0
